Pseudomonas_fragi	Unknown
Pseudomonas_fulva	Unknown
Pseudomonas_mendocina	Unknown
Pseudomonas_nitroreducens	Unknown
Desulfopila_sp	Unknown
Pseudomonas_putida	Unknown
Pseudomonas_veronii	Unknown
Pseudonocardia_sp	Unknown
Psychromonas_ingrahamii	Unknown
Psychromonas_ossibalaenae	Unknown
Rhizobium_etli	Unknown
Rhizobium_phaseoli	Unknown
Rhodanobacter_fulvus	Unknown
Rhodanobacter_sp	Unknown
Rhodanobacter_thiooxydans	Unknown
Rhodococcus_ruber	Unknown
Rhodonellum_psychrophilum	Unknown
Rhodopirellula_baltica	Unknown
Rhodopseudomonas_sp	Unknown
Rickettsia_africae	Unknown
Rickettsia_akari	Unknown
Rickettsia_japonica	Unknown
Rickettsia_monacensis	Unknown
Roseburia_inulinivorans	Unknown
Rothia_aeria	Unknown
Rubrivivax_benzoatilyticus	Unknown
Ruminobacter_sp	Unknown
Ruminococcus_albus	Unknown
Saccharomonospora_cyanea	Unknown
Saccharomonospora_glauca	Unknown
Saccharospirillum_impatiens	Unknown
Salinivibrio_socompensis	Unknown
Sandarakinorhabdus_limnophila	Unknown
Sanguibacter_keddieii	Unknown
Spiroplasma_sp	Unknown
Selenomonas_sp	Unknown
Shewanella_baltica	Unknown
Shewanella_loihica	Unknown
Shewanella_marina	Unknown
Shimazuella_kribbensis	Unknown
Shigella_sonnei	Unknown
Sinorhizobium_fredii	Unknown
Sneathiella_glossodoripedis	Unknown
Sphaerochaeta_coccoides	Unknown
Sphaerochaeta_globosa	Unknown
Sphingobium_lucknowense	Unknown
Sphingobium_quisquiliarum	Unknown
Sphingomonas_melonis	Unknown
Spirillospora_albida	Unknown
Spirochaeta_africana	Unknown
Spiroplasma_taiwanense	Unknown
Sporosarcina_newyorkensis	Unknown
Sporosarcina_pasteurii	Unknown
Streptococcus_entericus	Unknown
Brumimicrobium_mesophilum	Unknown
Streptococcus_oralis	Unknown
Streptococcus_salivarius	Unknown
Streptomyces_achromogenes	Unknown
Streptomyces_flavidovirens	Unknown
Streptomyces_flavochromogenes	Unknown
Streptomyces_griseolus	Unknown
